Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-18 00:00:00-04:00,6.25,7.5,5.0,7.5,40224,0.0,0.0
2023-08-21 00:00:00-04:00,7.0,7.75,7.0,7.5,17980,0.0,0.0
2023-08-22 00:00:00-04:00,7.25,8.0,6.75,6.75,8248,0.0,0.0
2023-08-23 00:00:00-04:00,7.25,7.25,6.5,7.0,2848,0.0,0.0
2023-08-24 00:00:00-04:00,7.75,7.75,6.25,6.75,10240,0.0,0.0
2023-08-25 00:00:00-04:00,6.5,7.0,6.5,7.0,10944,0.0,0.0
2023-08-28 00:00:00-04:00,7.0,7.5,6.25,6.5,13968,0.0,0.0
2023-08-29 00:00:00-04:00,6.75,7.5,6.5,7.0,24148,0.0,0.0
2023-08-30 00:00:00-04:00,7.0,7.25,6.75,6.75,5060,0.0,0.0
2023-08-31 00:00:00-04:00,6.75,7.0,6.0,6.25,12964,0.0,0.0
2023-09-01 00:00:00-04:00,6.0,6.5,5.25,5.75,22792,0.0,0.0
2023-09-05 00:00:00-04:00,6.0,6.0,5.25,5.5,3188,0.0,0.0
2023-09-06 00:00:00-04:00,5.5,5.75,5.5,5.75,2928,0.0,0.0
2023-09-07 00:00:00-04:00,5.75,5.75,5.5,5.5,3900,0.0,0.0
2023-09-08 00:00:00-04:00,5.5,5.75,5.5,5.5,2232,0.0,0.0
2023-09-11 00:00:00-04:00,5.25,5.75,5.0,5.0,5628,0.0,0.0
2023-09-12 00:00:00-04:00,5.0,5.75,5.0,5.0,5512,0.0,0.0
2023-09-13 00:00:00-04:00,5.5,5.5,4.25,4.5,19656,0.0,0.0
2023-09-14 00:00:00-04:00,4.5,6.25,4.5,5.0,21120,0.0,0.0
2023-09-15 00:00:00-04:00,4.75,6.25,4.75,6.25,17800,0.0,0.0
2023-09-18 00:00:00-04:00,5.75,6.0,5.0,5.25,6344,0.0,0.0
2023-09-19 00:00:00-04:00,5.25,5.5,5.0,5.25,3424,0.0,0.0
2023-09-20 00:00:00-04:00,5.25,5.25,5.0,5.25,4380,0.0,0.0
2023-09-21 00:00:00-04:00,5.0,5.25,4.75,5.0,6068,0.0,0.0
2023-09-22 00:00:00-04:00,5.0,5.0,4.75,4.75,2372,0.0,0.0
2023-09-25 00:00:00-04:00,4.75,5.25,4.5,5.0,6100,0.0,0.0
