Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-25 00:00:00-04:00,2023-09-25,5.550000190734863,5.550000190734863,5.440000057220459,5.440000057220459,17200,0.0,0.0
2023-09-26 00:00:00-04:00,2023-09-26,5.409999847412109,5.409999847412109,5.369999885559082,5.409999847412109,10500,0.0,0.0
2023-09-27 00:00:00-04:00,2023-09-27,5.420000076293945,5.420000076293945,5.320000171661377,5.320000171661377,2800,0.0,0.0
2023-09-28 00:00:00-04:00,2023-09-28,5.320000171661377,5.349999904632568,5.269999980926514,5.289999961853027,20300,0.0,0.0
2023-09-29 00:00:00-04:00,2023-09-29,5.309999942779541,5.329999923706055,5.28000020980835,5.309999942779541,11700,0.0,0.0
2023-10-02 00:00:00-04:00,2023-10-02,5.340000152587891,5.340000152587891,5.260000228881836,5.260000228881836,4200,0.0,0.0
2023-10-03 00:00:00-04:00,2023-10-03,5.260000228881836,5.300000190734863,5.199999809265137,5.239999771118164,13100,0.0,0.0
2023-10-04 00:00:00-04:00,2023-10-04,5.239999771118164,5.239999771118164,5.230000019073486,5.239999771118164,400,0.0,0.0
2023-10-05 00:00:00-04:00,2023-10-05,5.210000038146973,5.25,5.210000038146973,5.21999979019165,2800,0.0,0.0
2023-10-06 00:00:00-04:00,2023-10-06,5.199999809265137,5.199999809265137,5.179999828338623,5.199999809265137,1200,0.0,0.0
2023-10-09 00:00:00-04:00,2023-10-09,5.199999809265137,5.210000038146973,5.110000133514404,5.190000057220459,22900,0.0,0.0
2023-10-10 00:00:00-04:00,2023-10-10,5.170000076293945,5.25,5.170000076293945,5.25,4600,0.0,0.0
2023-10-11 00:00:00-04:00,2023-10-11,5.230000019073486,5.269999980926514,5.230000019073486,5.25,6000,0.0,0.0
2023-10-12 00:00:00-04:00,2023-10-12,5.239999771118164,5.28000020980835,5.199999809265137,5.199999809265137,16100,0.0,0.0
2023-10-13 00:00:00-04:00,2023-10-13,5.25,5.300000190734863,5.25,5.289999961853027,700,0.0,0.0
2023-10-16 00:00:00-04:00,2023-10-16,5.21999979019165,5.230000019073486,5.150000095367432,5.150000095367432,12400,0.0,0.0
2023-10-17 00:00:00-04:00,2023-10-17,5.190000057220459,5.190000057220459,5.099999904632568,5.110000133514404,4500,0.0,0.0
2023-10-18 00:00:00-04:00,2023-10-18,5.130000114440918,5.130000114440918,5.03000020980835,5.039999961853027,9800,0.0,0.0
2023-10-19 00:00:00-04:00,2023-10-19,4.940000057220459,5.130000114440918,4.940000057220459,4.980000019073486,14100,0.0,0.0
2023-10-20 00:00:00-04:00,2023-10-20,4.920000076293945,4.989999771118164,4.900000095367432,4.960000038146973,12500,0.0,0.0
2023-10-23 00:00:00-04:00,2023-10-23,5.019999980926514,5.019999980926514,4.929999828338623,4.929999828338623,8300,0.0,0.0
2023-10-24 00:00:00-04:00,2023-10-24,4.960000038146973,4.980000019073486,4.920000076293945,4.940000057220459,14100,0.0,0.0
2023-10-25 00:00:00-04:00,2023-10-25,4.960000038146973,4.960000038146973,4.880000114440918,4.889999866485596,3800,0.0,0.0
2023-10-26 00:00:00-04:00,2023-10-26,4.849999904632568,4.900000095367432,4.849999904632568,4.889999866485596,18500,0.0,0.0
2023-10-27 00:00:00-04:00,2023-10-27,4.840000152587891,4.889999866485596,4.840000152587891,4.889999866485596,6400,0.0,0.0
2023-10-30 00:00:00-04:00,2023-10-30,4.920000076293945,4.920000076293945,4.869999885559082,4.889999866485596,18900,0.0,0.0
2023-10-31 00:00:00-04:00,2023-10-31,4.869999885559082,4.900000095367432,4.849999904632568,4.900000095367432,8400,0.0,0.0
2023-11-01 00:00:00-04:00,2023-11-01,4.929999828338623,5.019999980926514,4.889999866485596,4.989999771118164,24400,0.0,0.0
2023-11-02 00:00:00-04:00,2023-11-02,5.059999942779541,5.119999885559082,5.059999942779541,5.119999885559082,11400,0.0,0.0
2023-11-03 00:00:00-04:00,2023-11-03,5.179999828338623,5.230000019073486,5.179999828338623,5.199999809265137,9900,0.0,0.0
2023-11-06 00:00:00-05:00,2023-11-06,5.25,5.25,5.130000114440918,5.170000076293945,4900,0.0,0.0
2023-11-07 00:00:00-05:00,2023-11-07,5.199999809265137,5.25,5.179999828338623,5.230000019073486,5100,0.0,0.0
2023-11-08 00:00:00-05:00,2023-11-08,5.28000020980835,5.400000095367432,5.25,5.369999885559082,26300,0.0,0.0
2023-11-09 00:00:00-05:00,2023-11-09,5.429999828338623,5.440000057220459,5.260000228881836,5.28000020980835,7000,0.0,0.0
2023-11-10 00:00:00-05:00,2023-11-10,5.380000114440918,5.380000114440918,5.300000190734863,5.300000190734863,2100,0.0,0.0
2023-11-13 00:00:00-05:00,2023-11-13,5.269999980926514,5.320000171661377,5.269999980926514,5.320000171661377,300,0.0,0.0
2023-11-14 00:00:00-05:00,2023-11-14,5.380000114440918,5.480000019073486,5.380000114440918,5.429999828338623,15400,0.0,0.0
2023-11-15 00:00:00-05:00,2023-11-15,5.440000057220459,5.480000019073486,5.360000133514404,5.389999866485596,17100,0.0,0.0
2023-11-16 00:00:00-05:00,2023-11-16,5.409999847412109,5.5,5.409999847412109,5.46999979019165,14300,0.0,0.0
2023-11-17 00:00:00-05:00,2023-11-17,5.539999961853027,5.570000171661377,5.510000228881836,5.539999961853027,31800,0.0,0.0
2023-11-20 00:00:00-05:00,2023-11-20,5.460000038146973,5.630000114440918,5.460000038146973,5.599999904632568,12100,0.0,0.0
2023-11-21 00:00:00-05:00,2023-11-21,5.53000020980835,5.599999904632568,5.53000020980835,5.599999904632568,3700,0.0,0.0
2023-11-22 00:00:00-05:00,2023-11-22,5.659999847412109,5.690000057220459,5.659999847412109,5.670000076293945,15100,0.0,0.0
2023-11-24 00:00:00-05:00,2023-11-24,5.710000038146973,5.71999979019165,5.690000057220459,5.71999979019165,7300,0.0,0.0
2023-11-27 00:00:00-05:00,2023-11-27,5.730000019073486,5.760000228881836,5.690000057220459,5.690000057220459,36700,0.0,0.0
2023-11-28 00:00:00-05:00,2023-11-28,5.739999771118164,5.739999771118164,5.690000057220459,5.71999979019165,14800,0.0,0.0
2023-11-29 00:00:00-05:00,2023-11-29,5.71999979019165,5.789999961853027,5.71999979019165,5.789999961853027,5900,0.0,0.0
2023-11-30 00:00:00-05:00,2023-11-30,5.710000038146973,5.789999961853027,5.710000038146973,5.75,24800,0.0,0.0
2023-12-01 00:00:00-05:00,2023-12-01,5.710000038146973,5.840000152587891,5.710000038146973,5.840000152587891,10500,0.0,0.0
2023-12-04 00:00:00-05:00,2023-12-04,5.829999923706055,5.889999866485596,5.829999923706055,5.860000133514404,11700,0.0,0.0
2023-12-05 00:00:00-05:00,2023-12-05,5.849999904632568,5.880000114440918,5.789999961853027,5.820000171661377,91200,0.0,0.0
2023-12-06 00:00:00-05:00,2023-12-06,5.900000095367432,5.900000095367432,5.820000171661377,5.840000152587891,19600,0.0,0.0
2023-12-07 00:00:00-05:00,2023-12-07,5.900000095367432,5.900000095367432,5.829999923706055,5.849999904632568,15400,0.0,0.0
2023-12-08 00:00:00-05:00,2023-12-08,5.820000171661377,5.849999904632568,5.78000020980835,5.829999923706055,62900,0.0,0.0
2023-12-11 00:00:00-05:00,2023-12-11,5.900000095367432,5.929999828338623,5.800000190734863,5.920000076293945,70000,0.0,0.0
2023-12-12 00:00:00-05:00,2023-12-12,5.889999866485596,5.940000057220459,5.849999904632568,5.889999866485596,44800,0.0,0.0
2023-12-13 00:00:00-05:00,2023-12-13,5.929999828338623,5.929999828338623,5.75,5.909999847412109,46900,0.0,0.0
2023-12-14 00:00:00-05:00,2023-12-14,5.900000095367432,6.0,5.900000095367432,5.960000038146973,14800,0.0,0.0
2023-12-15 00:00:00-05:00,2023-12-15,5.980000019073486,5.989999771118164,5.940000057220459,5.960000038146973,21500,0.0,0.0
2023-12-18 00:00:00-05:00,2023-12-18,5.900000095367432,6.010000228881836,5.900000095367432,5.980000019073486,23300,0.0,0.0
2023-12-19 00:00:00-05:00,2023-12-19,6.03000020980835,6.110000133514404,6.0,6.03000020980835,29900,0.0,0.0
2023-12-20 00:00:00-05:00,2023-12-20,6.0,6.03000020980835,5.980000019073486,6.0,20100,0.0,0.0
2023-12-21 00:00:00-05:00,2023-12-21,6.090000152587891,6.090000152587891,6.010000228881836,6.039999961853027,40000,0.0,0.0
2023-12-22 00:00:00-05:00,2023-12-22,6.0,6.070000171661377,5.929999828338623,5.980000019073486,60200,0.0,0.0
2023-12-26 00:00:00-05:00,2023-12-26,6.050000190734863,6.050000190734863,5.929999828338623,5.960000038146973,31200,0.0,0.0
2023-12-27 00:00:00-05:00,2023-12-27,6.039999961853027,6.039999961853027,5.980000019073486,5.989999771118164,7300,0.0,0.0
2023-12-28 00:00:00-05:00,2023-12-28,6.039999961853027,6.039999961853027,5.960000038146973,5.989999771118164,39800,0.0,0.0
2023-12-29 00:00:00-05:00,2023-12-29,5.949999809265137,5.989999771118164,5.949999809265137,5.960000038146973,35900,0.0,0.0
2024-01-02 00:00:00-05:00,2024-01-02,5.940000057220459,5.980000019073486,5.920000076293945,5.960000038146973,9000,0.0,0.0
2024-01-03 00:00:00-05:00,2024-01-03,5.940000057220459,6.0,5.940000057220459,5.989999771118164,6600,0.0,0.0
2024-01-04 00:00:00-05:00,2024-01-04,6.019999980926514,6.019999980926514,6.0,6.010000228881836,2000,0.0,0.0
2024-01-05 00:00:00-05:00,2024-01-05,6.099999904632568,6.099999904632568,5.96999979019165,6.0,3800,0.0,0.0
2024-01-08 00:00:00-05:00,2024-01-08,6.039999961853027,6.050000190734863,5.989999771118164,6.03000020980835,9600,0.0,0.0
2024-01-09 00:00:00-05:00,2024-01-09,6.039999961853027,6.050000190734863,5.989999771118164,5.989999771118164,3500,0.0,0.0
2024-01-10 00:00:00-05:00,2024-01-10,6.010000228881836,6.019999980926514,5.949999809265137,5.96999979019165,25300,0.0,0.0
2024-01-11 00:00:00-05:00,2024-01-11,5.949999809265137,5.980000019073486,5.949999809265137,5.960000038146973,23700,0.0,0.0
2024-01-12 00:00:00-05:00,2024-01-12,6.0,6.0,5.949999809265137,5.960000038146973,13700,0.0,0.0
2024-01-16 00:00:00-05:00,2024-01-16,5.929999828338623,5.949999809265137,5.889999866485596,5.909999847412109,3900,0.0,0.0
